Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lockscreens,Chrome 122.0.0.0,,,29-02-2024 12:24:09,29-02-2024 12:27:07,"2m - 57,729s",PASSED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,29-02-2024 12:24:09,29-02-2024 12:24:23,"14,142s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,29-02-2024 12:24:10,29-02-2024 12:24:13,"2,491s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo/admin/auth"")",Chrome 122.0.0.0,,,29-02-2024 12:24:13,29-02-2024 12:24:14,"0,990s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,29-02-2024 12:24:14,29-02-2024 12:24:14,"0,280s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,29-02-2024 12:24:14,29-02-2024 12:24:14,"0,235s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,29-02-2024 12:24:14,29-02-2024 12:24:15,"0,536s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,29-02-2024 12:24:15,29-02-2024 12:24:15,"0,384s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.1 (stage/11)"")",Chrome 122.0.0.0,,,29-02-2024 12:24:15,29-02-2024 12:24:15,"0,410s",PASSED
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,29-02-2024 12:24:15,29-02-2024 12:24:16,"0,727s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,29-02-2024 12:24:16,29-02-2024 12:24:17,"0,455s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,29-02-2024 12:24:17,29-02-2024 12:24:17,"0,376s",PASSED
delay(4),Chrome 122.0.0.0,,,29-02-2024 12:24:17,29-02-2024 12:24:21,"4,049s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 122.0.0.0,,,29-02-2024 12:24:21,29-02-2024 12:24:21,"0,303s",PASSED
,,,,,,,
Test Cases/Lockscreens/Send Lockscreen JPG (TC-20),Chrome 122.0.0.0,,,29-02-2024 12:24:23,29-02-2024 12:25:13,"49,319s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,29-02-2024 12:24:24,29-02-2024 12:24:24,"0,455s",PASSED
"click(findTestObject(""Dashboard Page/Lockscreens""))",Chrome 122.0.0.0,,,29-02-2024 12:24:24,29-02-2024 12:24:25,"0,538s",PASSED
"verifyElementText(findTestObject(""Lockscreen/Create Lockscreen header""), ""Create Lockscreen"")",Chrome 122.0.0.0,,,29-02-2024 12:24:25,29-02-2024 12:24:26,"1,065s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 122.0.0.0,,,29-02-2024 12:24:26,29-02-2024 12:24:26,"0,376s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 12:24:26,29-02-2024 12:24:35,"8,368s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-20"")",Chrome 122.0.0.0,,,29-02-2024 12:24:35,29-02-2024 12:24:35,"0,937s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 122.0.0.0,,,29-02-2024 12:24:35,29-02-2024 12:24:36,"0,297s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\river.jpg"")",Chrome 122.0.0.0,,,29-02-2024 12:24:36,29-02-2024 12:24:36,"0,353s",PASSED
delay(10),Chrome 122.0.0.0,,,29-02-2024 12:24:36,29-02-2024 12:24:46,"10,006s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 122.0.0.0,,,29-02-2024 12:24:46,29-02-2024 12:24:46,"0,293s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,29-02-2024 12:24:46,29-02-2024 12:24:47,"0,368s",PASSED
waitForPageLoad(2),Chrome 122.0.0.0,,,29-02-2024 12:24:47,29-02-2024 12:24:47,"0,018s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-20"")",Chrome 122.0.0.0,,,29-02-2024 12:24:47,29-02-2024 12:24:49,"2,121s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-20"")",Chrome 122.0.0.0,,,29-02-2024 12:24:49,29-02-2024 12:24:49,"0,319s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Actions menu Wallpapers-Lockscreens-Screensaver""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 12:24:49,29-02-2024 12:24:59,"9,492s",PASSED
"sendKeys(findTestObject(""Create Pop-up Alert Page/Alert Title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 122.0.0.0,,,29-02-2024 12:24:59,29-02-2024 12:24:59,"0,699s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""Duplicate Lockscreen"")",Chrome 122.0.0.0,,,29-02-2024 12:24:59,29-02-2024 12:25:01,"1,084s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,29-02-2024 12:25:01,29-02-2024 12:25:01,"0,582s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-20"")",Chrome 122.0.0.0,,,29-02-2024 12:25:01,29-02-2024 12:25:03,"1,721s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Select all and Delete""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 12:25:03,29-02-2024 12:25:06,"3,039s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""Duplicate Lockscreen"")",Chrome 122.0.0.0,,,29-02-2024 12:25:06,29-02-2024 12:25:07,"1,312s",PASSED
"waitForElementClickable(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,29-02-2024 12:25:07,29-02-2024 12:25:09,"1,493s",PASSED
"check(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""))",Chrome 122.0.0.0,,,29-02-2024 12:25:09,29-02-2024 12:25:09,"0,399s",PASSED
"verifyElementChecked(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,29-02-2024 12:25:09,29-02-2024 12:25:10,"0,438s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 122.0.0.0,,,29-02-2024 12:25:10,29-02-2024 12:25:10,"0,589s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 122.0.0.0,,,29-02-2024 12:25:10,29-02-2024 12:25:11,"0,572s",PASSED
,,,,,,,
