Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RSVP Alert,Chrome 122.0.0.0,,,29-03-2024 11:21:46,29-03-2024 11:24:36,"2m - 49,867s",FAILED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 122.0.0.0,,,29-03-2024 11:21:46,29-03-2024 11:21:58,"11,695s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,29-03-2024 11:21:46,29-03-2024 11:21:48,"1,535s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo"")",Chrome 122.0.0.0,,,29-03-2024 11:21:48,29-03-2024 11:21:49,"0,851s",PASSED
waitForPageLoad(3),Chrome 122.0.0.0,,,29-03-2024 11:21:49,29-03-2024 11:21:49,"0,099s",PASSED
maximizeWindow(),Chrome 122.0.0.0,,,29-03-2024 11:21:49,29-03-2024 11:21:49,"0,160s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 122.0.0.0,,,29-03-2024 11:21:49,29-03-2024 11:21:50,"0,731s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 122.0.0.0,,,29-03-2024 11:21:50,29-03-2024 11:21:50,"0,291s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.2 (stage/11)"")",Chrome 122.0.0.0,,,29-03-2024 11:21:50,29-03-2024 11:21:50,"0,006s",NOT_RUN
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 122.0.0.0,,,29-03-2024 11:21:50,29-03-2024 11:21:51,"0,611s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 122.0.0.0,,,29-03-2024 11:21:51,29-03-2024 11:21:51,"0,335s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 122.0.0.0,,,29-03-2024 11:21:51,29-03-2024 11:21:51,"0,332s",PASSED
delay(4),Chrome 122.0.0.0,,,29-03-2024 11:21:51,29-03-2024 11:21:55,"4,018s",PASSED
